displayname	researcharea	username
Federica Bogo	Artificial intelligence, Computer vision	febogo
Cedric Cagniart	Computer vision	cecagnia
Jeff Delmerico	Hardware and devices, Artificial intelligence, Computer vision	jedelmer
Joshua Elsdon	Human-computer interaction, Computer vision	joelsdon
Silvano Galliani	Artificial intelligence, Computer vision	sigallia
Lukas Gruber	Graphics and multimedia, Computer vision	lugruber
Ondrej Miksik	Artificial intelligence, Computer vision	onmiksik
Helen Oleynikova	Artificial intelligence, Computer vision	eloleyni
Marc Pollefeys	Graphics and multimedia, Human-computer interaction, Artificial intelligence, Computer vision	mapoll
Johannes Schönberger	Artificial intelligence, Computer vision	joschonb
Pablo Speciale	Artificial intelligence, Computer vision	paspecia
Bugra Tekin		butekin
Christoph Vogel	Artificial intelligence, Computer vision	chvogel
Alekh Agarwal	Artificial intelligence	alekha
Zeyuan Allen-Zhu	Mathematics, Artificial intelligence, Algorithms	zeyuana
Saleema Amershi	Human-computer interaction, Artificial intelligence, Data platforms and analytics	samershi
Sean Andrist	Human language technologies, Human-computer interaction, Artificial intelligence	sandrist
Paul Bennett	Systems and networking, Human-computer interaction, Artificial intelligence, Algorithms, Data platforms and analytics	pauben
Dan Bohus	Human language technologies, Artificial intelligence, Algorithms	dbohus
Chris Brockett	Human language technologies, Human-computer interaction, Artificial intelligence, Social sciences	chrisbkt
Sébastien Bubeck	Artificial intelligence, Algorithms	sebubeck
Rich Caruana	Medical, health and genomics, Artificial intelligence	rcaruana
Asli Celikyilmaz	Human language technologies, Artificial intelligence, Algorithms	aslicel
Nirupama Chandrasekaran	Artificial intelligence	niruc
Byron Changuion	Hardware and devices, Artificial intelligence, Computer vision	byronc
Ofer Dekel	Artificial intelligence, Algorithms	oferd
Debadeepta Dey	Artificial intelligence, Algorithms, Computer vision	dedey
Bill Dolan	Human language technologies, Human-computer interaction, Artificial intelligence	billdol
Mark Encarnación	Human language technologies, Artificial intelligence	markenc
Ashley Feniello	Systems and networking, Artificial intelligence, Programming languages and software engineering	ashleyf
Roland Fernandez	Artificial intelligence, Algorithms, Data platforms and analytics	rfernand
Adam Fourney	Human-computer interaction, Search and information retrieval, Artificial intelligence	adamfo
Michel Galley	Human language technologies, Artificial intelligence	mgalley
Michael Gamon	Human language technologies, Human-computer interaction, Artificial intelligence, Social sciences	mgamon
Jianfeng Gao	Human language technologies, Artificial intelligence, Algorithms, Computer vision	jfgao
Xiang Gao	Human language technologies, Artificial intelligence	xiag
Kern Handa	Artificial intelligence, Programming languages and software engineering, Computer vision	kerha
Ahmed Hassan Awadallah	Human language technologies, Search and information retrieval, Artificial intelligence	hassanam
Matthew Hausknecht	Artificial intelligence	mahauskn
Eric Horvitz	Human-computer interaction, Artificial intelligence, Algorithms	horvitz
Saghar Hosseini	Human language technologies, Search and information retrieval, Artificial intelligence	sahoss
Qiuyuan Huang	Human language technologies, Artificial intelligence, Algorithms	qihua
Kori Inkpen	Hardware and devices, Human-computer interaction, Artificial intelligence	kori
Shamsi Iqbal	Human-computer interaction, Artificial intelligence, Algorithms	shamsi
Chuck Jacobs	Graphics and multimedia, Artificial intelligence	cjacobs
Mihai Jalobeanu	Systems and networking, Human-computer interaction, Artificial intelligence, Programming languages and software engineering, Computer vision	mihaijal
Sujay Kumar Jauhar	Human language technologies, Artificial intelligence	sjauhar
Nebojsa Jojic	Human language technologies, Medical, health and genomics, Artificial intelligence, Computer vision, Ecology and environment	jojic
Ece Kamar	Human-computer interaction, Artificial intelligence, Algorithms	eckamar
Emre Kiciman	Systems and networking, Human-computer interaction, Search and information retrieval, Artificial intelligence, Social sciences	emrek
Paul Koch	Algorithms	paulkoch
Andrey Kolobov	Search and information retrieval, Artificial intelligence, Algorithms	akolobov
John Krumm	Hardware and devices, Artificial intelligence, Algorithms	jckrumm
Chunyuan Li	Artificial intelligence, Algorithms	chunyl
Jerry Li	Artificial intelligence, Algorithms	jerrl
Lars Liden	Human language technologies, Human-computer interaction, Artificial intelligence, Algorithms	laliden
Xiaodong Liu	Human language technologies, Artificial intelligence, Algorithms	xiaodl
Ricky Loynd	Artificial intelligence, Algorithms	riloynd
Patrick MacAlpine	Artificial intelligence	patmac
Riham Mansour	Human language technologies, Human-computer interaction, Artificial intelligence	rihamma
Matt Mazzola	Artificial intelligence, Algorithms	mattm
James McCaffrey	Artificial intelligence, Programming languages and software engineering, Algorithms	jammc
Chris Meek	Human-computer interaction, Artificial intelligence, Algorithms, Data platforms and analytics	meek
Subhabrata (Subho) Mukherjee	Human language technologies, Search and information retrieval, Artificial intelligence, Social sciences	submukhe
Besmira Nushi	Human-computer interaction, Artificial intelligence	benushi
Hamid Palangi	Human language technologies, Human-computer interaction, Artificial intelligence, Algorithms	hpalangi
Xiulian Peng	Artificial intelligence, Computer vision	xipe
Alex Polozov	Artificial intelligence, Programming languages and software engineering, Data platforms and analytics	polozov
Gonzalo Ramos	Human-computer interaction, Artificial intelligence	goramos
Sudha Rao	Human language technologies, Artificial intelligence	sudhra
Ilya Razenshteyn	Artificial intelligence	ilyaraz
Mason Remy	Hardware and devices, Artificial intelligence, Computer vision	masonr
Matthew Richardson	Human language technologies, Search and information retrieval, Artificial intelligence	mattri
Nick Saw	Artificial intelligence	chitsaw
Tobias Schnabel	Human-computer interaction, Artificial intelligence, Data platforms and analytics	toschnab
Shital Shah	Artificial intelligence, Computer vision	shitals
Shahin Shayandeh	Human language technologies, Artificial intelligence, Algorithms	shahins
Robert Sim	Artificial intelligence, Security, privacy, and cryptography, Computer vision	rsim
Nalin Singal	Human language technologies, Artificial intelligence	nasingal
Paul Smolensky	Artificial intelligence, Algorithms	psmo
Denny Sun	Artificial intelligence, Programming languages and software engineering, Algorithms	dennys
Siddharth Suri	Economics, Social sciences	suri
Adith Swaminathan	Search and information retrieval, Artificial intelligence	adswamin
Pat Sweeney	Artificial intelligence, Programming languages and software engineering	patricsw
Deepthi Uppala	Artificial intelligence	deepthi
Wei Wang	Human language technologies, Artificial intelligence	wawe
Ryen W. White	Medical, health and genomics, Human-computer interaction, Search and information retrieval, Artificial intelligence	ryenw
Shane Williams	Hardware and devices, Human-computer interaction, Artificial intelligence	shanewil
Andy Wilson	Graphics and multimedia, Hardware and devices, Human-computer interaction, Artificial intelligence, Computer vision	awilson
Lin Xiao	Mathematics, Artificial intelligence, Algorithms	lixiao
Chenyan Xiong	Search and information retrieval, Artificial intelligence	cxiong
Greg Yang	Human language technologies, Mathematics, Artificial intelligence	gregyang
Pengchuan Zhang	Mathematics, Artificial intelligence, Algorithms	penzhan
Yizhe Zhang	Human language technologies, Artificial intelligence	yizzhang
Guoqing Zheng	Human language technologies, Artificial intelligence	zheng
Mahmoud Adada	Artificial intelligence, Programming languages and software engineering, Algorithms, Data platforms and analytics	maadada
Adam Atkinson	Mathematics, Search and information retrieval, Artificial intelligence, Programming languages and software engineering, Algorithms, Computer vision, Data platforms and analytics	adatkins
Philip Bachman	Artificial intelligence	phbachma
Luiz Belussi	Artificial intelligence	lubeluss
William Buchwalter	Systems and networking, Artificial intelligence, Programming languages and software engineering	wibuch
Marc-Alexandre Côté	Human language technologies, Artificial intelligence	macote
Shehzaad Dhuliawala	Artificial intelligence	shdhulia
Fernando Diaz	Search and information retrieval, Artificial intelligence	fdiaz
Matthew Dixon	Systems and networking, Artificial intelligence, Programming languages and software engineering, Algorithms, Data platforms and analytics	madixon
Susan Dumais	Human-computer interaction, Search and information retrieval, Artificial intelligence, Algorithms	sdumais
Mehdi Fatemi	Artificial intelligence	mefatemi
Emery Fine	Artificial intelligence	emfine
Geoff Gordon	Artificial intelligence	ggordon
Justin D. Harris	Economics, Artificial intelligence, Data platforms and analytics	juharri
T. J. Hazen	Human language technologies, Human-computer interaction, Artificial intelligence	tihazen
Devon Hjelm	Artificial intelligence	devonh
Romain Laroche	Artificial intelligence	rolaroch
Xihui (Eric) Lin	Human language technologies, Artificial intelligence	xihlin
Zhi Liu	Human language technologies, Human-computer interaction, Artificial intelligence, Programming languages and software engineering, Data platforms and analytics	liuzhi
Andrew McNamara	Artificial intelligence	anmcnama
Soroush Mehri	Artificial intelligence	somehri
Rahul Mehrotra	Human language technologies, Human-computer interaction, Artificial intelligence	ramehrot
James Moore	Human language technologies, Artificial intelligence, Programming languages and software engineering	jamoo
Tsendsuren Munkhdalai	Human language technologies, Artificial intelligence	tsmunkhd
Mohamed Musbah	Artificial intelligence	momusbah
Tatsuro Oya	Artificial intelligence	taoy
Peter Potash	Human language technologies, Artificial intelligence	pepotash
Marc-Antoine Rondeau	Human language technologies, Artificial intelligence	marondea
Hannes Schulz	Human language technologies, Artificial intelligence	haschulz
Samira Shabanian	Artificial intelligence	sashaban
Shikhar Sharma	Human language technologies, Artificial intelligence, Computer vision	shsh
Alessandro Sordoni	Artificial intelligence	alsordon
Kaheer Suleman	Human language technologies, Artificial intelligence	kasulema
Remi Tachet des Combes	Mathematics, Artificial intelligence, Algorithms	retachet
Adam Trischler	Human language technologies, Artificial intelligence	adtrisch
Tong Wang	Human language technologies, Artificial intelligence	tonwang
Yadollah Yaghoobzadeh	Human language technologies, Artificial intelligence	yayaghoo
